,Symbol ,Company Name ,Industry ,Market Cap 
106,ADTH,AdTheorent Holding Company,Advertising Agencies,105.85M
107,ADTN,ADTRAN Holdings,Communication Equipment,613.72M
108,ADTX,Aditxt,Biotechnology,2.49M
109,ADUS,Addus HomeCare,Medical Care Facilities,1.35B
110,ADV,Advantage Solutions,Advertising Agencies,973.65M
111,ADVM,Adverum Biotechnologies,Biotechnology,105.03M
112,ADXN,Addex Therapeutics,Biotechnology,6.04M
113,AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,79.72M
114,AEAE,AltEnergy Acquisition,Shell Companies,77.45M
115,AEE,Ameren,Utilities - Regulated Electric,20.01B
116,AEG,Aegon,Insurance - Diversified,9.35B
117,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,5.13M
118,AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,1.14B
119,AEI,Alset EHome International,Real Estate - Development,11.91M
120,AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3.84B
121,AEL,American Equity Investment Life Holding Company,Insurance - Life,4.17B
122,AEM,Agnico Eagle Mines,Gold,23.13B
123,AEMD,Aethlon Medical,Medical Devices,4.27M
124,AENT,Alliance Entertainment Holding,Entertainment,148.07M
125,AENZ,Aenza,Engineering & Construction,185.66M
126,AEO,American Eagle Outfitters,Apparel Retail,3.33B
127,AEON,AEON Biopharma,Biotechnology,240.02M
128,AEP,American Electric Power Company,Utilities - Regulated Electric,38.24B
129,AER,AerCap Holdings,Rental & Leasing Services,13.23B
130,AES,The AES Corporation,Utilities - Diversified,8.71B
131,AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,2.10B
132,AEVA,Aeva Technologies,Auto Parts,168.22M
133,AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,6.06M
134,AEYE,AudioEye,Software - Application,62.10M
135,AEZS,Aeterna Zentaris,Biotechnology,9.32M
136,AFAR,Aura FAT Projects Acquisition,Shell Companies,155.91M
137,AFBI,Affinity Bancshares,Banks - Regional,97.29M
138,AFCG,AFC Gamma,REIT - Specialty,237.10M
139,AFG,American Financial Group,Insurance - Property & Casualty,9.40B
140,AFIB,Acutus Medical,Medical Devices,19.94M
141,AFL,Aflac,Insurance - Life,46.82B
142,AFMD,Affimed,Biotechnology,70.89M
143,AFRI,Forafric Global,Farm Products,294.59M
144,AFRM,Affirm Holdings,Software - Infrastructure,5.90B
145,AFYA,Afya Limited,Education & Training Services,1.43B
146,AG,First Majestic Silver,Silver,1.46B
147,AGAE,Allied Gaming & Entertainment,Entertainment,31.82M
148,AGBA,AGBA Acquisition,Shell Companies,37.15M
149,AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,9.16B
150,AGE,AgeX Therapeutics,Biotechnology,27.70M
151,AGEN,Agenus,Biotechnology,406.14M
152,AGFY,Agrify,Engineering & Construction,4.12M
153,AGI,Alamos Gold,Gold,4.67B
154,AGIL,AgileThought,Software - Application,10.83M
155,AGIO,Agios Pharmaceuticals,Biotechnology,1.32B
156,AGL,agilon health,Medical Care Facilities,7.61B
157,AGLE,Aeglea BioTherapeutics,Biotechnology,52.54M
158,AGM,Federal Agricultural Mortgage,Credit Services,1.60B
159,AGM.A,Federal Agricultural Mortgage,Credit Services,1.60B
160,AGMH,AGM Group Holdings,Software - Application,43.17M
161,AGNC,AGNC Investment,REIT - Mortgage,5.53B
162,AGO,Assured Guaranty,Insurance - Specialty,3.53B
163,AGR,Avangrid,Utilities - Regulated Electric,12.14B
164,AGRI,AgriFORCE Growing Systems,Farm Products,3.12M
165,AGRO,Adecoagro,Farm Products,1.17B
