,Symbol ,Company Name ,Industry ,Market Cap 
470,ASTR,Astra Space,Aerospace & Defense,24.88M
471,ASTS,AST SpaceMobile,Telecom Services,785.81M
472,ASUR,Asure Software,Software - Application,228.97M
473,ASX,ASE Technology Holding Co.,Semiconductors,16.68B
474,ASXC,Asensus Surgical,Medical Devices,69.85M
475,ASYS,Amtech Systems,Semiconductor Equipment & Materials,109.80M
476,ATAI,Atai Life Sciences,Biotechnology,227.43M
477,ATAK,Aurora Technology Acquisition,Shell Companies,116.30M
478,ATAT,Atour Lifestyle Holdings,Lodging,2.37B
479,ATEC,Alphatec Holdings,Medical Devices,1.43B
480,ATEK,Athena Technology Acquisition Corp. II,Shell Companies,129.84M
481,ATEN,A10 Networks,Software - Infrastructure,851.53M
482,ATER,Aterian,"Furnishings, Fixtures & Appliances",27.87M
483,ATEX,Anterix,Telecom Services,603.99M
484,ATGE,Adtalem Global Education,Education & Training Services,1.91B
485,ATHA,Athira Pharma,Biotechnology,71.92M
486,ATHE,Alterity Therapeutics,Biotechnology,10.17M
487,ATHM,Autohome,Internet Content & Information,3.69B
488,ATHX,Athersys,Biotechnology,3.21M
489,ATI,ATI Inc.,Metal Fabrication,5.24B
490,ATIF,ATIF Holdings,Capital Markets,10.50M
491,ATIP,ATI Physical Therapy,Medical Care Facilities,33.86M
492,ATKR,Atkore,Electrical Equipment & Parts,5.53B
493,ATLC,Atlanticus Holdings,Credit Services,424.71M
494,ATLO,Ames National,Banks - Regional,145.40M
495,ATLX,Atlas Lithium,Other Precious Metals & Mining,287.45M
496,ATMC,AlphaTime Acquisition,Shell Companies,96.12M
497,ATMU,Atmus Filtration Technologies,Pollution & Treatment Controls,1.72B
498,ATMV,AlphaVest Acquisition,Shell Companies,97.13M
499,ATNF,180 Life Sciences,Biotechnology,3.35M
